Speaker,utterance,rc
1,"Now if I want to take a speed instantaneously, ",1
1,"if I want to take a speed at one instance, that means at that one moment I want to know how fast I’m going, ",1
1,so what kind of scale - what tool do I use to try to measure how I’m going at one particular second? ,1
1,What’s that called? ,1
1,What’s the difference between an odometer and a speedometer? ,1
1,"Right, the speedometer tells you how fast you’re going. ",1
1,It tells you your instant speed at that one moment. ,1
1,"What does the odometer do, guys? ",1
1,"Right, how far you traveled. ",1
1,So you can get in your car and you can reset the odometer so if you’re about to leave your house ,1
1,"and you want to calculate how good you’re driving, how fast you’re driving, you can set it to zero, ",1
1, and as you get there it’s going to calculate your miles and then you can calculate your time. ,1
1,"Ok, well send it. Ok. Alright, let’s see our class average. Hold on, we’ll do that in a minute. Alright, so let’s go over your little mini quiz here. So I asked you in your own words what equilibrium meant.",1
1,"We have several examples with Mr. Denero and a class. Let’s see what you told me here. Alright, equal amount, the same, two equal things - I think this is supposed to say balance. I think you’re [inaudible], but I understand that’s balance. Equal and in balance. Now whenever you give a definition of a word you don’t want to use the same form of the word, so if I say it’s equilibrium, I don’t want to see equal in the definition.",1
1,Ignore. So the best thing you can probably tell me is if it’s balanced. Remember we talked about equilibrium where it’s reached a stable stage or it’s in balance. ,5
1,"Think about the volcano. If the volcano is building up pressure, is that equilibrium, if it’s got pressure underneath it? ",5
1,"Yeah,  if it’s building up pressure? ",3
1,"No.  Is the pressure greater or less underneath the crust as it is on the outside? Where’s there the most pressure. Think about it. If your volcano is building up pressure, is it going to be greater or less than the air pressure outside the volcano? Hello, Cory, is it greater or less? ",4
1,"Huh? Exactly; you’re not listening. Marquis, is it greater or less? ",4
1,"Inside the volcano, before it erupts?",4
1,It’s greater. ,4
1,"Now before it balances out it’s going to do what? If it wants to reach equilibrium, what does that volcano have to do? ",4
1,"It’s going to erupt, because the whole point is the pressure under the crust vs. the pressure outside, it’s not the same.",4
1,"It’s in disequilibrium and we have to balance it out by making it the same, so it’s got to erupt. Same thing with succession. ",4
1,"Johnny, explain to me what speed is. ",5
1,"Ok, how far you move in a certain amount of time. ",5
1,Ok? So how many of you all…How many of y’all sped to school this morning?,0
1,Ran to the school? ,0
1,How many of you all sped to school this morning. ,0
1,I mean speed. Did you all speed to school? ,0
1,"In cars, ran. ",0
1,"It’s funny, because when I say speed to school you think that you’re going too fast, right? ",3
1,"But really, the actual definition of speed is involving what two units as Johnny just told us?",5
1,What two units does it involve? ,5
1,"Time and distance, ok? ",5
1,"So really, it’s just a ratio of how far have you gone in a certain amount of time.",5
1,And you all deal with speed all the time. ,0
1,"You all are in baseball, you all are in track, you measure your speed ",0
1,"When you drive to school everyday, roadtrips, when you’re on the interstate or in your neighborhood. E3.5 ",0
1,what are the units that we measure our speed in? ,5
1,"We measure it in miles per hour, ",5
1,"don’t we, whereas in science lab we may use [inaudible] per second. ",5
1,"So if I’m driving to Houston to see my sister, ok? ",3
1,And let’s say I drive the first 100 miles and it takes me exactly two hours. ,3
1,About how many miles did I go per hour? Q,3
1,If I went 100 miles and it took me two hours. ,3
1,"Right, and what did you have to do to figure that out? ",3
1,"You just divide it, right? That’s all speed is. ",3
1,"All speed is, is just a ratio of your distance to your time, ",4
1,"so if you know your speed and your time you can tell me how far you’ve gone, or, if you know your speed and your… I said that backwards. ",4
1,"If you know your speed and your time you can calculate how far you’ve gone,",4
1,"or if you know your total distance and if you know your total time, you can also calculate your speed,  ",4
1,and that’s our formula that you just looked up. ,5
1,So what’s the actual formula for speed? ,5
1,Right. Your total distance over total time. ,5
1,"That’s your average speed, which brings me to question two. ",5
1,There’s average speed and there’s instantaneous speed. ,5
1,So what is your average speed? ,5
1,"Speed itself is distance over time, but what is your average speed? ",5
1,"If you had to take an average, what does that mean?",5
1,"We’ve been doing math [inaudible], math practice.  ",5
1,One person – raise your hand. One person. Ron? ,5
1,You go half the speed your regularly go?  If I’m averaging speeds? ,5
1,"Let me put it this way, I’ve been starting to bike.",3
1,"I ride my bike; I’m training for the MS 150, so if I get on my bike and I ride around White Rock Lake, ",3
1,I’m not always going to be going the same speed at all times. ,3
1,Same thing in your car; are you always going to be going the same speed all the way to your destination?,3
1,No. Why? What’s happening between? ,3
1,"Yeah, the speed limit may change. ",3
1,"You may have to slow down for a school zone, or what else? ",3
1,George said if you have to go on the freeway you might have to speed up to get on it. ,3
1,"He’s right. Like when I ride my bike around the lake, sometimes I’m going down hill and I go about 15, 18 MPH, ",3
1,but then if I’m going up a hill I’m really tired and I’m going to slow down to like 9 MPH. ,3
1,"Ok? So at the end of my trip I look at my speedometer and it tells me my average speed may be 10, but at some points I was doing 15; ",3
1,"sometimes I did 9, so what did my average speed do? ",3
1,How do I calculate it? ,4
1,"Right, add all my speeds up and divide it by how many times it took the speed, right?",4
1,And that’s where I get my average speed. ,4
1,"So I can say my average speed from here to Houston was about 60 MPH, but that doesn’t mean I was going 60 the whole time, does it? ",4
1,"Because you know somewhere between there I probably had to stop and get gas, slow down, speed up to get on the freeway. ",4
1,Now how is that different from instantaneous speed? What’s instantaneous speed? Raise your hand. ,5
1,"Say it again louder, Travis. ",5
1,"We use it to keep from going over the speed limit, so…",5
1,Well we use the odometer to measure what? ,0
1,"Right, odometer measures the distance ",0
1,and you speedometer measures what? ,0
1,"Speed, ok? ",0
1,So instantaneous speed means the speed I’m going when?,3
1,"Well any time, right?  ",3
1, If I want to know my speed at any given time what am I going to look at? ,0
1,"I’m going to look at my speedometer, and I’m going to know exactly how fast I’m going at that one moment. ",0
1,That’s instantaneous speed. ,5
1,"Now average speed, remember, is an average of all my what? ",5
1,All my different speeds from point A to point B. ,5
1,"Right, so I can measure my speed exactly as I go up a hill, and I could later on give my average, so that’s two different things, ok?  ",5
1,"We’re going to look at speed today and we’re going to do some calculations using some equipment that you see on your desk. Questions on your bell ringer? We need to jump back to yesterday for a minute. We did not get to finish our questions over equilibrium, did we? ",5
1,"T:  I know, I’m fixing it. Ok, so in your own words, what does equilibrium mean? ",5
1,"Ok, we talked about equilibrium, ",5
1,"[inaudible], when an eco-system reaches that climax community, so let’s see what you all said. ",5
1,"Alright, balance, eco-system balance, 50/50 the same, eco system that stays in balance. ",5
1,"I think the key word here is what, guys? ",5
1,"Balance, meaning that we have reached a state… ",5
1,"One, two, three, four… Key word meaning balance, meaning the level, the system, whatever system we’re talking about; ",5
1," volcano, eco-system, you’re human body. ",3
1," What ever the system is it’s always trying to keep a stable condition; a balance of the systems, ok? ",3
1," Like your body is always trying to balance temperatures, so I think you all got that pretty good. ",0
1, Then we talked about the stages of succession in order.,5
1,Here were your choices. If we’re going from earliest to latest… ,5
1,"Where are you glasses, sweetie? ",5
1,"They’re broken. Here, have a seat right here. ",5
1,That way we won’t block you in. ,5
1,"Alright, so which one would be the earliest stage that needs to be on top, Andrew? ",5
1,"Bare rock, right? ",5
1,That’s after lava has hardened and we have nothing but bare rock. ,5
1,Is there life there yet? ,5
1,Is there soil there yet? ,5
1,"No, bare rock, ",5
1,so what’s the next thing that can grow on bare rock? ,5
1,Minor species; ,5
1,do they need soil to grow? ,5
1,No.,5
1,So are shrubs going to be next? ,5
1,What do shrubs need to grow in? ,5
1,Soil. ,5
1,Is there any soil yet on bare rock? ,5
1,"No, so shrubs can’t be next, so it has to be pioneer species. ",5
1,"Then when the pioneer species start breaking down that rock, to form soil, then we can have seedlings and shrubs, ",5
1,and then the last stage? ,5
1,"Ok, Tim, you got that order correct. ",5
1,"Some groups started with the pioneer species, ",5
1," but remember, before the pioneer species, they have to grow on what? ",5
1,Bare rock. ,5
1,"Down here, bare rock was right, but someone put shrubs and seedlings next. ",5
1,Remember they can’t grow until you have soil.,5
1,And then we’re getting a forest. ,5
1,"Remember, we can’t have a climax community forest until we’ve gone thru the smaller stages, ok?",5
1,Remember your diagrams?,3
1,"Remember, you start with bare rock and you had to move your way up.",3
1,This was right off your diagram; it was right off your diagram. ,3
1,So we need to work on that a little bit for the final demo. ,3
1,"This was primary, secondary or both. [inaudible]? ",5
1,Primary. ,5
1,"Oh, you all did really good on that one. ",5
1,"Ok, that is primary. Only two of you all picked secondary. ",5
1,The end result is a climax community in which it’s reached equilibrium. ,5
1,"Primary, secondary, or is it both? ",5
1,It’s both. ,5
1,Four of you didn’t answer that. ,5
1," Listen. Whether it’s primary or secondary, eventually each one is going to have soil, right?",5
1,And eventually each one… Can each one support a stable eco-system after thousands of years?,5
1,"So each one, it’s ultimate goal is to reach what kind of community? ",5
1,"Climax community, ",5
1,"So it doesn’t matter if you start as primary when a volcano erupts, ",5
1, or it doesn’t matter if it’s secondary if you have a forest fire. ,5
1,"Either way you need to try to get your climax community again, right? ",5
1,"Of course, after a forest fire…",5
1,Secondary. ,5
1,Most of you all got that right; that’s good. ,5
1,True or false. A volcano reaches a state of equilibrium… ,5
1,…after… ,5
1,After it erupts. ,5
1,True. ,5
1,"Remember, what is there more of under the crust before it erupts? ",5
1,Pressure. ,5
1,And is that equal to the pressure outside the volcano? ,5
1,"No, so before it erupts it is in imbalance.",5
1,It’s is in disequilibrium and the only way for it to even out is to do what?,5
1,It has to erupt. ,5
1,"Once it erupts it released the pressure and we’re back in balance, so that would be true on that question. ",5
1,"Ok, this was a fill in the blank. We talked about this. When you eat a big hamburger for lunch and you digest it you get an increase in what? ",5
1,"Ok. Alright, yesterday we talked about speed – about what average speed vs. instantaneous speed meant. ",5
1,"Jason, can you throw your gum in the trash please? Thank you very much.  ",5
1,"So we talked about average speed being an average of all the speeds of your total trip from point A to point B. All the speeds that you went… Remember, we talked about you’re not going to go the whole speed the whole time you’re driving, right?",5
1,"You’re going to speed up or slow down,",3
1,so your average speed is going to be your total distance over what? Your total what?,5
1,"Time, right? Thank you, Marcus; total time. ",5
1,So instantaneous speed – what is instantaneous speed again?,5
1,"It’s the speed that you’re going at, but at any one given time – at that instant. ",5
1,Think of the word instantaneous. ,5
1, It means at that one instant how fast are you going. ,5
1,"Cory, let me see your pass, sweetie. ",5
1,What do I mean by constant speed? ,5
1,You’ll find that on 134. ,5
1,What is the constant speed? ,5
1,Yeah. What’s staying the same for a period of time?,5
1,Your speed; constant speed. ,5
1,"So if you’re going at a constant speed of 50, that means you’re not going to increase or decrease your speed; ",3
1,you’re just going to stay the same. ,3
1,"So if we graph that, you’re going to notice that your graph isn’t going anywhere because you’re going to stay steady at a constant speed.",4
1,You’ll see more what I’m talking about when we get into our lab today. ,4
1,"And then we need to look at the relationship between velocity and acceleration, ",4
1,"and the only way to do this is to actually get involved, and we’re going to do some motion graphing today, ",4
1,"ok? So what is velocity? We haven’t really hit on this much yet, but just give me the definition for velocity. ",5
1,Uh huh. ,5
1,"Ok, so velocity is the speed of an object in the direction it’s headed, ok? ",5
1,There’s a nice little picture of that on 135. ,5
1,It shows someone walking around a park. ,3
1,"Those balls are actually showing acceleration, ",3
1,"so my next question is: What is the relationship between velocity and acceleration, ok?  ",5
1,"Velocity we’re looking at the direction; we’re speeding and we have to go in a direction, right? ",3
1,"If we’re speeding we’re moving, aren’t we? ",3
1,Acceleration means it’s speeding up? ,5
1,"Ok, so the change in velocity,",5
1,which means what’s changing? ,5
1,Or the… ,5
1,Or the direction.,5
1,"So that’s how velocity and acceleration are related,",5
1,because the acceleration is when you change speed or you change direction. ,5
1,"Ok, now let’s look at the graph. ",5
1,This is a time graph. ,3
1, Shh. One… Put the calculator down for a second. ,3
1,"Look up here. Cory. Alright, we have a time graph. ",3
1,What is on our axis?,3
1,"What does the T stand for, probably?",3
1,Time. ,3
1,What does the S stand for? ,5
1,S. ,5
1,What is speed? ,5
1,What is the measure of the speed? ,5
1,Distance over what? ,5
1,"Time,",5
1,so what unit would S be for time? ,5
1,I know you all aren’t awake.,5
1,"If we’re on the highway we say we measure miles per hour, ",3
1,so what would the S be? ,5
1,Nope.,5
1,Thank you. We’re doing meters. ,5
1,"We just set up what unit for distance, guys? ",5
1,"Meters, so we’re going meters per second. ",5
1,"So you see on the X axis we have our time in seconds, ",3
1,and on our Y what do we have? ,3
1,We have our distance in meters. ,3
1,"So Jason, what he’s going to do is he has to look at the graph",3
1,"and he has to figure out where to start,",3
1,and he’s going to walk in front of the motion detector ,3
1,and it’s going to record where he’s walking.,3
1,It’s going to record where he’s walking. ,3
1,So he’s going to try to match the graph on the screen. ,3
1,"I’m just going to give you a clue, ",3
1,so you need to study it so you know where to start. ,3
1,"So look at, look at where the graph starts. ",3
1,"How many meters should he be from this motion detector, Lavelle? ",3
1,"Ok, here’s some good graphs.",3
1,Who’s this right here?  Let me get it going. ,3
1,Let me get these graphs up. ,3
1,Look at number one. ,3
1,Describe how you had to match your graph to each segment of the graph. ,3
1,"So if your graph was going at a slope that was a steep slope, what did you have to do? ",3
1,If it was a straight line what did you have to do? ,3
1,"This person did a really good job, I think.",3
1,"Oh, it was? ",3
1,"So this one did pretty good, too. ",3
1,Mines or just mine? ,3
1,It’s not a word. ,3
1,"Look at this one. Describe to me on your particular graph, on number one,",3
1,"what did you have to do in order to match the segment of the graph,  ",3
1,ok? So for this graph what did he have to do to make it a straight line? ,3
1,"He had to be still, right? ",3
1,So that’s what you should be describing to me.,3
1,What did you have to do to make the line go down? ,3
1,"You had to move closer to the wall, right? ",3
1,"Ok, what did you have to do to make the line go up? ",3
1,"You had to go back,",3
1,because you’re increasing your what? On the X axis? ,3
1,Your distance. ,3
1,Ok? So is direction important on your graph? ,3
1,"Yes, that’s where your velocity comes in",3
1,your direction and your speed. ,3
1,"Now, how fast…. Does your speed effect the graph? ",4
1,The straightness of it? ,4
1,How? How does speed come into play here? ,4
1,You’re got to what?,4
1,If you went faster what happened to your line? ,4
1,What happened to the line? You’re getting there.,3
1,You said you had to hurry up and get there. ,3
1,"Why did you have to hurry up, because what were you trying to do? ",3
1,Match that line. ,3
1,Ok? So why do you need to go fast for some lines and slower for some lines? ,4
1,"Ok, so you’re talking about the slant of the line?",4
1,"Ok, we call that slope. ",5
1,Remember slope from math class? ,5
1,The slope of the line?,5
1,"So how steep this line is, the slope of the line, that is your what? ",5
1,That’s your speed. ,5
1,"How steep this line is is dependent on how fast you are going, isn’t it? ",5
1,"If you notice, if you ran real quickly it went steeper, but if you were slow it went up very slowly, right? ",4
1," Remember, it’s measuring your distance over time. ",4
1,"So if you’re going faster you’re going over more distance in less time and that’s why your graphs are going to steeper, ok? ",4
1,"Alright, can someone tell me what we mean by constant speed? ",5
1,"George, put the money up unless you’re going to buy me more pencils. ",5
1,"What is meant by constant speed. George, [inaudible]. ",5
1,"The speed stays the same, ok?",5
1,"That means your not accelerating, you’re not decelerating, you’re not slowing down or speeding up. ",5
1,It’s staying constant; it’s staying the same. ,5
1,And when you do your time graphs in just a minute you’re going to realize what happened when you do not move or you stay the same. ,3
1,What is the relationship between acceleration and velocity? Tell me what velocity is. ,5
1,"It deals with speed, but what else? ",5
1,The direction of motion.,5
1,"So we’re adding speed which is our rate of distance over time and we’re giving it direction, meaning, what direction are we going to walk in? ",5
1,So if you look at that picture on page 134 it shows the path of someone walking around a park. ,3
1,"Do me a favor – run up to Ms. C[inaudible]’s, Ms. [inaudible] and Ms. [inaudible]’s room and see if any of these kids are in there because I owe them a lunch pass, ok? If they’re there, give it to them; if not, [inaudible]. ",3
1,So velocity means – it’s depending on speed and direction. ,5
1,"So if I’m walking a straight line, what could I do to change my velocity? ",3
1,"I could go faster; I could start running, right?",3
1,"That’s one way of changing velocity. Or, what if I stay at the same speed; I’m walking and walking and walking and I turn over here.",3
1,Will I change velocity? ,3
1,When I turn I change what?,3
1,I change direction. ,3
1,"I may be going the same speed, but I changed directions so I have changed my velocity.",3
1,So how is velocity related to acceleration? What’s the relationship between that? Those two things? ,5
1,Acceleration is what? Say it louder? ,5
1,"Acceleration is the change of velocity, ok?",5
1,"So we know velocity means I must be in motion, I can change my speed, and I have to be moving in a particular direction, ok? ",5
1,"And I’m moving right now, so do I have velocity? ",3
1,"No. My speed is zero, but I’m not going in any direction right now, but once I move to a different direction I can change my velocity.",3
1,"Ok, let’s answer one and two. Let’s look at a few of these graphs. ",3
1,"Tell me, and this is just your first try. ",3
1,"This was just your first try, so let’s look at this one. ",3
1,"This one turned out pretty good, ok? ",3
1,So what did this person have to do to match this graph? ,3
1,Hold on. You’ve got to tell me where he had to start; ,3
1,you’ve got to be specific in your description.,3
1,You have to start how far away from the wall? ,3
1,He had to start one foot away ,3
1,and then which way did he have to walk? ,3
1,He had to go back. ,3
1,How many meters back did he have to go? ,3
1,One.,3
1,See how that ended up one extra meter?,3
1,How long did he have to walk back to that other meter? ,3
1,How long did it [inaudible]? ,3
1,"Ok, ",3
1,so he had to walk back for how many seconds? Count. How many seconds? How many seconds did he have to walk backwards for?,3
1,"Three, right? ",3
1,So he had to judge it. How did we get that straight line? ,4
1,"He stopped, right? ",4
1,And what was our speed at that point?,4
1,"Zero; you weren’t moving, were you? ",4
1,"Then, what did we do here? How long did he have to stand there and do nothing? ",3
1,"Yeah, about one, two, three, four seconds, ",3
1,and after four seconds what did he have to do? ,3
1,"Walk forward again, right? Ok.",3
1,"now at that point, at what two points did the velocity change on this? Remember what – for velocity to change are what two thing? ",4
1,What two things make up velocity? ,5
1,Speed or… ,5
1,Direction. ,5
1,So can you tell me the two places on this graph where he changed velocity? ,4
1,One – we’re almost done – two… ,4
1,Show me where he changed velocity. Show me.,4
1,At what specific point did he either change speed or change direction. ,4
1,"One, two – Gene, you need to sit in the back, please.",4
1,"…three, four. Johnny, come help him out. ",4
1,"Where did he either change speed or change direction? Hold on, what specific point? ",4
1,"You all listening? One, two, three… Alright. ",4
1,"You see right here? What happens at this point? Right here at this point, what happened? What did he do? ",3
1,He stopped. ,3
1,Did he change his speed? ,4
1,"Ok, what about right here? What did he change?",3
1,"Guys, I’m not talking over you. ",3
1,What did he change right here? Raise your hands. ,4
1,"He walked forward, ",3
1,so what did he change when he started to walk forward? ,4
1,"Why, because he changed what about velocity? ",4
1,"Direction, thank you. ",4
